State,International plan,Voice mail plan,state_numeric,Area code,Account length,International plan_numeric,Voice mail plan numeric,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Tota all miniutes,Total all calls,Total all charges,Customer service calls,churn_numeric,Churn
NV,No,No,39,415,160,0,0,0,176.2,90,29.95,196,115,16.66,263.9,95,11.88,9.2,4,2.48,645.3,304,60.97,1,0,FALSE
WI,No,Yes,28,415,129,0,1,37,205,94,34.85,165.4,103,14.06,185,81,8.32,11.7,8,3.16,567.1,286,60.39,1,0,FALSE
AL,No,No,5,408,93,0,0,0,267.9,114,45.54,223,74,18.96,262.7,90,11.82,11.3,3,3.05,764.9,281,79.37,3,1,TRUE
HI,No,No,49,415,169,0,0,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,592.9,339,58.31,2,0,FALSE
MO,No,No,7,415,58,0,0,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,570.3,361,55.55,1,0,FALSE
MO,No,No,7,408,45,0,0,0,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35,590.5,303,61.42,1,0,FALSE
CT,No,No,51,510,155,0,0,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4,438.2,323,49.74,3,0,FALSE
MD,No,No,26,415,52,0,0,0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,545.6,324,59.86,4,0,FALSE
OH,No,Yes,2,415,119,0,1,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3,645.9,344,69.81,0,0,FALSE
NV,No,No,39,510,86,0,0,0,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21,514.4,263,48.83,1,0,FALSE
MD,No,No,26,408,42,0,0,0,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4,7,1.08,585,324,61.44,0,0,FALSE
OH,No,No,2,408,123,0,0,0,105,150,17.85,251.6,90,21.39,258,93,11.61,14.9,5,4.02,629.5,338,54.87,0,0,FALSE
MA,No,No,6,510,98,0,0,0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3,757.6,345,78.13,4,1,TRUE
OK,No,Yes,4,510,149,0,1,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,633.7,284,63.79,1,0,FALSE
MA,No,No,6,408,160,0,0,0,166.8,109,28.36,236,117,20.06,307.6,77,13.84,9.3,1,2.51,719.7,304,64.77,1,0,FALSE
WA,No,No,36,415,103,0,0,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,558.7,318,58.5,5,0,FALSE
HI,No,Yes,49,415,132,0,1,15,154.6,128,26.28,245.6,106,20.88,148.6,90,6.69,9.1,4,2.46,557.9,328,56.31,1,0,FALSE
CO,No,No,17,415,137,0,0,0,127,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,601.6,311,57.57,1,0,FALSE
FL,Yes,No,16,415,129,1,0,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,589.2,313,69.44,1,0,FALSE
WI,No,No,28,415,62,0,0,0,281,66,47.77,160.6,108,13.65,77.9,74,3.51,0,0,0,519.5,248,64.93,1,0,FALSE
WY,No,No,20,408,32,0,0,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,570.3,255,56.78,1,0,FALSE
GA,No,No,24,510,86,0,0,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,623,329,53.16,3,0,FALSE
FL,No,No,16,415,130,0,0,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,575.2,367,59.47,1,0,FALSE
WY,No,No,20,408,42,0,0,0,146.3,84,24.87,255.9,113,21.75,45,117,2.03,8,12,2.16,455.2,326,50.81,1,0,FALSE
DE,No,No,30,415,73,0,0,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15,7,4.05,567.1,274,66.49,2,0,FALSE
ME,No,Yes,43,408,66,0,1,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,694.3,341,74.05,2,0,FALSE
DC,No,Yes,40,510,103,0,1,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,501.7,329,45.6,0,0,FALSE
IA,No,No,10,408,128,0,0,0,158.8,75,27,264.8,91,22.51,270,77,12.15,7.6,7,2.05,701.2,250,63.71,1,0,FALSE
CO,No,No,17,415,104,0,0,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,657.8,306,63.29,2,0,FALSE
MN,No,No,37,415,103,0,0,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,432.6,331,48.77,0,0,FALSE
AZ,No,No,18,510,87,0,0,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,483.1,342,43.33,1,0,FALSE
LA,No,Yes,23,415,109,0,1,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,597.7,278,59.37,1,1,TRUE
ME,No,No,43,510,97,0,0,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,496.6,263,46.91,4,1,TRUE
MD,No,No,26,415,106,0,0,0,165.3,118,28.1,210,101,17.85,187.2,93,8.42,8.5,3,2.3,571,315,56.67,2,0,FALSE
VT,No,No,13,415,125,0,0,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,502.8,363,47.93,2,0,FALSE
DC,No,Yes,40,408,108,0,1,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,627.4,327,66.73,0,0,FALSE
WY,No,No,20,415,125,0,0,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8,2,2.16,621.8,337,55.68,1,0,FALSE
VA,Yes,Yes,14,510,72,1,1,29,139.8,114,23.77,138.2,91,11.75,221,88,9.95,5.5,6,1.49,504.5,299,46.96,0,0,FALSE
CT,No,No,51,510,23,0,0,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,725.6,383,85.46,2,1,TRUE
HI,No,No,49,510,149,0,0,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,601.9,305,58.5,7,0,FALSE
WI,No,No,28,415,73,0,0,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,574.8,288,61.84,0,0,FALSE
MD,No,No,26,415,61,0,0,0,260,123,44.2,210.5,127,17.89,234.7,70,10.56,9,3,2.43,714.2,323,75.08,1,1,TRUE
WV,No,No,8,415,161,0,0,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,481,311,51.49,4,1,TRUE
UT,No,Yes,32,415,118,0,1,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,490.1,230,45.01,1,0,FALSE
CO,No,No,17,408,23,0,0,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15,4,4.05,591.4,274,60.41,6,0,FALSE
NC,No,Yes,35,415,127,0,1,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,515.5,314,41.15,0,0,FALSE
NJ,No,Yes,3,415,42,0,1,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,540.1,314,53.72,0,0,FALSE
AR,No,No,27,415,118,0,0,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,807.2,368,85.7,5,1,TRUE
IA,No,No,10,510,45,0,0,0,159.8,91,27.17,120.4,86,10.23,163,93,7.34,10.6,3,2.86,453.8,273,47.6,2,0,FALSE
GA,No,Yes,24,408,50,0,1,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,827.2,318,77.98,1,0,FALSE
MO,No,No,7,510,179,0,0,0,287.3,123,48.84,288,114,24.48,266,112,11.97,10.5,4,2.84,851.8,353,88.13,0,1,TRUE
MO,No,No,7,408,152,0,0,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,448.8,336,40.2,2,0,FALSE
WY,No,No,20,415,105,0,0,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,625.8,317,55.24,2,0,FALSE
HI,No,No,49,415,72,0,0,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,528.9,283,43.93,0,0,FALSE
PA,No,No,48,408,52,0,0,0,215.9,67,36.7,217,108,18.45,342.8,130,15.43,5.2,2,1.4,780.9,307,71.98,1,0,FALSE
TX,No,No,15,415,125,0,0,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11,4,2.97,533.6,324,57.06,1,0,FALSE
VA,No,No,14,510,143,0,0,0,110.1,113,18.72,169,59,14.37,166.7,94,7.5,9.2,2,2.48,455,268,43.07,1,0,FALSE
RI,No,No,9,415,65,0,0,0,111,51,18.87,219.8,84,18.68,202,89,9.09,4.4,14,1.19,537.2,238,47.83,1,0,FALSE
WI,No,No,28,415,80,0,0,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,755.8,283,71.78,1,0,FALSE
NC,No,No,35,415,43,0,0,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,371.9,318,32.92,1,0,FALSE
NV,No,No,39,415,143,0,0,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14,6,3.78,508.8,303,56.43,0,0,FALSE
UT,No,Yes,32,415,81,0,1,24,130.1,117,22.12,196,61,16.66,139.3,123,6.27,11.4,5,3.08,476.8,306,48.13,0,0,FALSE
ME,No,Yes,43,510,205,0,1,24,175.8,139,29.89,155,98,13.18,180.7,64,8.13,7.8,5,2.11,519.3,306,53.31,2,0,FALSE
HI,No,No,49,415,24,0,0,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,608.2,326,64.89,1,0,FALSE
OH,No,No,2,415,74,0,0,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,640.4,329,57.26,0,0,FALSE
OK,No,No,4,415,74,0,0,0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10,2,2.7,671.7,312,69.89,1,0,FALSE
KY,Yes,No,42,510,74,1,0,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,555,346,52.18,1,1,TRUE
AL,No,No,5,408,200,0,0,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,450.2,317,44.12,1,0,FALSE
MD,No,No,26,408,86,0,0,0,226.3,88,38.47,223,107,18.96,255.6,92,11.5,13,3,3.51,717.9,290,72.44,4,0,FALSE
NE,No,Yes,19,510,91,0,1,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,682.8,320,62.43,0,0,FALSE
TX,No,No,15,415,130,0,0,0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,594.6,288,52.62,1,0,FALSE
OH,No,No,2,408,56,0,0,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,583,302,47.47,2,0,FALSE
DE,No,No,30,415,117,0,0,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,630.5,354,62.63,0,0,FALSE
VT,No,No,13,415,126,0,0,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,581.8,314,61.51,0,0,FALSE
OR,No,No,29,510,132,0,0,0,191.9,107,32.62,206.9,127,17.59,272,88,12.24,12.6,2,3.4,683.4,324,65.85,1,0,FALSE
NV,No,Yes,39,415,81,0,1,28,167.9,147,28.54,190.7,105,16.21,193,103,8.69,9.2,6,2.48,560.8,361,55.92,4,1,TRUE
NC,No,No,35,415,122,0,0,0,180,88,30.6,145,77,12.33,233.7,120,10.52,11.5,6,3.11,570.2,291,56.56,2,0,FALSE
NJ,No,No,3,408,46,0,0,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,736.3,270,78.77,2,1,TRUE
ID,No,No,12,408,99,0,0,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,579.2,321,54.14,1,0,FALSE
AL,No,No,5,408,87,0,0,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11,3,2.97,644.1,295,70.01,1,0,FALSE
AK,No,No,25,415,108,0,0,0,103,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,523.4,324,47.9,1,0,FALSE
PA,No,No,48,415,53,0,0,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,525.8,325,58.13,3,0,FALSE
NV,Yes,No,39,415,144,1,0,0,150,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,635.9,278,60.92,0,0,FALSE
AL,No,Yes,5,510,91,0,1,23,232.4,97,39.51,186,88,15.81,190.5,128,8.57,12.3,3,3.32,621.2,316,67.21,3,0,FALSE
GA,No,No,24,408,58,0,0,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,487.7,310,50.13,2,0,FALSE
AR,No,No,27,415,5,0,0,0,199.2,106,33.86,187.3,12,15.92,214,85,9.63,13.3,3,3.59,613.8,206,63,3,0,FALSE
MA,No,No,6,408,97,0,0,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,693,245,72.14,0,0,FALSE
MO,No,Yes,7,415,142,0,1,30,154,75,26.18,165.8,97,14.09,270,83,12.15,10.8,5,2.92,600.6,260,55.34,1,0,FALSE
NY,No,Yes,41,408,9,0,1,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,600.9,332,62.36,1,0,FALSE
AZ,No,No,18,415,73,0,0,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,558.1,324,59.71,0,0,FALSE
WV,No,No,8,408,43,0,0,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,554.5,371,63.26,0,0,FALSE
NM,No,Yes,38,408,122,0,1,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,601.2,327,61.89,1,1,TRUE
SC,No,No,46,415,93,0,0,0,190.2,68,32.33,262.2,64,22.29,130,92,5.85,8.8,4,2.38,591.2,228,62.85,0,0,FALSE
VT,No,No,13,415,85,0,0,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,632.4,296,62.1,1,0,FALSE
LA,No,No,23,415,87,0,0,0,228.7,90,38.88,163,99,13.86,154.1,90,6.93,11.8,3,3.19,557.6,282,62.86,1,0,FALSE
OH,No,No,2,408,137,0,0,0,144,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,466,285,49,0,0,FALSE
OR,No,Yes,29,510,21,0,1,31,135.9,90,23.1,271,84,23.04,179.1,89,8.06,9.5,7,2.57,595.5,270,56.77,6,0,FALSE
KY,No,No,42,415,104,0,0,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13,6,3.51,539.4,263,48.76,0,0,FALSE
GA,No,Yes,24,408,93,0,1,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,495.1,325,48.21,4,1,TRUE
VT,No,No,13,415,63,0,0,0,278,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,781.6,338,83.52,4,1,TRUE
OR,No,No,29,415,161,0,0,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,551.6,323,48.35,0,0,FALSE
MO,No,Yes,7,408,103,0,1,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,626.6,272,53.31,1,0,FALSE
ND,No,Yes,50,415,84,0,1,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13,18,3.51,535.3,333,52.89,1,0,FALSE
MN,No,No,37,510,92,0,0,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9,4,2.43,667.3,332,67.59,1,0,FALSE
NV,No,No,39,415,77,0,0,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,655,306,61.74,1,0,FALSE
NY,Yes,No,41,415,64,1,0,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,885,245,96.15,1,1,TRUE
FL,No,Yes,16,415,159,0,1,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,466.2,394,43.68,1,0,FALSE
KS,Yes,Yes,1,415,110,1,1,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,717.6,285,78.17,1,1,TRUE
NV,No,No,39,510,138,0,0,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17,4,4.59,528.1,364,53.62,3,0,FALSE
NV,No,No,39,408,178,0,0,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,623.6,341,73.05,1,0,FALSE
SC,No,Yes,46,415,38,0,1,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,749.9,294,69.26,0,0,FALSE
MI,No,Yes,45,510,45,0,1,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,313.3,331,33.32,1,0,FALSE
TN,No,No,47,510,70,0,0,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,533.4,303,47.62,0,0,FALSE
NY,No,Yes,41,510,147,0,1,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,709.4,310,75.07,3,0,FALSE
NV,No,No,39,510,94,0,0,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,495.1,305,53.89,1,0,FALSE
IL,No,No,21,510,179,0,0,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,511.4,308,48.21,0,0,FALSE
ND,No,No,50,510,59,0,0,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,602.4,287,62.14,0,0,FALSE
NC,No,No,35,415,165,0,0,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,434.9,297,53.9,0,0,FALSE
MI,No,No,45,408,133,0,0,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,635.8,362,75.29,2,1,TRUE
TN,No,No,47,415,140,0,0,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,561.9,303,49.55,1,0,FALSE
VT,No,Yes,13,408,93,0,1,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,551.1,281,50.29,2,0,FALSE
DE,No,Yes,30,415,64,0,1,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,507.6,320,56.52,1,0,FALSE
OR,No,No,29,415,48,0,0,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6,8.3,4,2.24,649.6,294,67.6,2,0,FALSE
NY,No,No,41,408,181,0,0,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6,7,1.62,568.1,251,52.65,1,0,FALSE
MO,No,Yes,7,415,168,0,1,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,486.3,281,44.78,2,0,FALSE
FL,No,No,16,415,155,0,0,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,528.9,328,55.72,3,0,FALSE
NY,No,No,41,415,11,0,0,0,143.4,130,24.38,289.4,50,24.6,194,100,8.73,9.7,6,2.62,636.5,286,60.33,2,0,FALSE
ND,No,No,50,415,182,0,0,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8,5,2.16,569.6,327,48.48,2,0,FALSE
OH,No,No,2,415,102,0,0,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12,4,3.24,513,356,43.41,0,0,FALSE
AL,No,No,5,415,122,0,0,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,663.6,309,69.83,0,0,FALSE
SC,No,No,46,415,41,0,0,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,499,338,48.43,1,0,FALSE
GA,No,No,24,415,132,0,0,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,606.2,336,61.18,2,0,FALSE
WY,No,No,20,415,76,0,0,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,675.7,323,75.12,1,1,TRUE
HI,No,Yes,49,415,115,0,1,33,145,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,596,370,55.91,2,0,FALSE
LA,No,No,23,510,154,0,0,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,518.4,290,52,0,0,FALSE
AR,No,No,27,510,100,0,0,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,468.1,300,48.46,2,0,FALSE
AK,Yes,No,25,510,146,1,0,0,133,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,621.3,289,57.61,1,0,FALSE
AL,No,Yes,5,415,67,0,1,28,95,94,16.15,291.2,73,24.75,159.6,114,7.18,10,2,2.7,555.8,283,50.78,2,0,FALSE
UT,Yes,No,32,510,161,1,0,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,711.4,341,69.16,1,1,TRUE
KS,No,No,1,415,70,0,0,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0,0,0,662.2,349,66.29,1,0,FALSE
VA,No,Yes,14,415,99,0,1,42,216,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,673.1,333,68.68,2,1,TRUE
UT,No,No,32,415,87,0,0,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,490.9,285,48.44,1,0,FALSE
IN,No,No,31,510,87,0,0,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,589.5,274,63.66,1,0,FALSE
CT,No,No,51,408,70,0,0,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,594.3,337,62.5,2,0,FALSE
MO,No,Yes,7,408,119,0,1,32,142.6,77,24.24,208.2,126,17.7,171,102,7.69,12,2,3.24,533.8,307,52.87,3,0,FALSE
RI,Yes,No,9,510,87,1,0,0,134.2,80,22.81,165,71,14.03,173.1,102,7.79,10.7,5,2.89,483,258,47.52,0,0,FALSE
CA,No,No,33,415,112,0,0,0,111.9,92,19.02,114,143,9.69,146.8,79,6.61,14.1,3,3.81,386.8,317,39.13,5,1,TRUE
RI,No,No,9,415,75,0,0,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,606.2,286,53.49,2,0,FALSE
CT,No,No,51,510,150,0,0,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,658.1,304,64.18,4,0,FALSE
IN,No,Yes,31,510,161,0,1,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,664.4,332,71.64,0,0,FALSE
FL,Yes,Yes,16,510,91,1,1,24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,527.5,376,44.99,0,0,FALSE
KS,No,No,1,415,124,0,0,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,559.3,293,55.73,3,0,FALSE
RI,No,No,9,510,158,0,0,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,702.8,317,70.37,0,0,FALSE
NV,No,No,39,415,102,0,0,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,635.6,281,58.91,0,0,FALSE
UT,No,No,32,510,85,0,0,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,611.7,329,64.93,0,0,FALSE
OK,No,No,4,510,79,0,0,0,147,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,564.3,290,52.28,1,0,FALSE
MN,No,Yes,37,510,139,0,1,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,470.1,276,43.23,2,0,FALSE
NC,No,No,35,415,103,0,0,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,667.5,301,72.44,0,0,FALSE
OR,Yes,No,29,415,98,1,0,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,446.2,254,33.64,1,0,FALSE
NH,No,No,22,408,78,0,0,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,605.4,305,57.5,2,0,FALSE
AK,No,No,25,408,50,0,0,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,453.5,327,47.66,1,0,FALSE
WV,No,Yes,8,415,86,0,1,38,123,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,408.4,384,42.1,1,0,FALSE
GA,No,No,24,510,92,0,0,0,208,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,491.9,304,58.03,0,0,FALSE
NM,No,No,38,415,174,0,0,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,542.1,315,63.81,1,0,FALSE
OH,No,No,2,510,124,0,0,0,193,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,470.9,303,52.35,1,0,FALSE
RI,No,Yes,9,415,190,0,1,26,116.7,71,19.84,145.9,88,12.4,175.1,103,7.88,9.9,3,2.67,447.6,265,42.79,1,0,FALSE
HI,No,No,49,510,101,0,0,0,93.8,127,15.95,150,104,12.75,241.1,116,10.85,10.7,2,2.89,495.6,349,42.44,1,0,FALSE
WY,Yes,Yes,20,415,185,1,1,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,544.1,328,51.4,2,0,FALSE
NY,No,Yes,41,415,68,0,1,29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,621,263,68.26,0,0,FALSE
KS,No,Yes,1,510,117,0,1,25,216,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,719.8,325,71.02,0,0,FALSE
LA,No,No,23,408,118,0,0,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,610.8,289,60.76,1,0,FALSE
PA,No,No,48,415,124,0,0,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,520.5,382,55.99,0,0,FALSE
NV,No,No,39,510,22,0,0,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,583.9,315,57.87,1,0,FALSE
MN,No,No,37,415,75,0,0,0,143.2,92,24.34,209.1,142,17.77,173,96,7.79,11.9,9,3.21,537.2,339,53.11,1,0,FALSE
MO,No,Yes,7,408,164,0,1,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,435,253,56.24,1,0,FALSE
ME,No,No,43,415,177,0,0,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,632.7,287,67.4,2,0,FALSE
NH,No,No,22,408,110,0,0,0,162,81,27.54,247.5,89,21.04,155.5,99,7,8.9,8,2.4,573.9,277,57.98,0,0,FALSE
MN,No,No,37,408,158,0,0,0,209.9,112,35.68,221.3,82,18.81,210,93,9.45,8.2,3,2.21,649.4,290,66.15,1,0,FALSE
